Verb,Most Likely Behavior,Internal / External (from Most Likely Behavior),Independent / Interactive (from Most Likely Behavior),Preferred Context (from Most Likely Behavior),Preferred Stimulus Task Type (from Most Likely Behavior),Other Possible Stimulus Task Type (from Most Likely Behavior),Learner choice of stimulus (from Most Likely Behavior),Preferred Deliverable Task Type (from Most Likely Behavior),Other Possible Deliverable Task Type (from Most Likely Behavior),Learner choice of deliverable (from Most Likely Behavior)
Organize,"Create,Implement","External,External","Independent,Interactive","Hypothetical / Simulated,Real world","Scenario,Real world demonstration","Real world demonstration,Real world project,Design project,Simulation,Real world demonstration","Always,No choice","Proposal / Prototype,Report","Observation,Artifact,Portfolio,Report,Presentation,Portfolio,Observation,Presentation","Decided by Program,Decided by Program"
Outline,Think Critically (Prospective),Internal,Independent,Hypothetical / Simulated,Scenario,"Simulation,Real world project,Real world demonstration,Design project",Decided by program,*None: Must be paired with External Behavior*,,N/A
Perform,Implement,External,Interactive,Real world,Real world demonstration,"Simulation,Real world demonstration",No choice,Report,"Portfolio,Observation,Presentation",Decided by Program
Persuade,Interact,External,Interactive,Hypothetical / Simulated,Role Play,"Simulation,Real world demonstration",No choice,Observation,Presentation,No choice
Plan,Create,External,Independent,Hypothetical / Simulated,Scenario,"Real world demonstration,Real world project,Design project",Always,Proposal / Prototype,"Observation,Artifact,Portfolio,Report,Presentation",Decided by Program
Prioritize,Think Critically (Prospective),Internal,Independent,Hypothetical / Simulated,Scenario,"Simulation,Real world project,Real world demonstration,Design project",Decided by program,*None: Must be paired with External Behavior*,,N/A
Procure,Implement,External,Interactive,Real world,Real world demonstration,"Simulation,Real world demonstration",No choice,Report,"Portfolio,Observation,Presentation",Decided by Program
Propose,Create,External,Independent,Hypothetical / Simulated,Scenario,"Real world demonstration,Real world project,Design project",Always,Proposal / Prototype,"Observation,Artifact,Portfolio,Report,Presentation",Decided by Program
Provide (evidence),Show Evidence,External,Independent,Real world,Real world demonstration,Real world project,No choice,Portfolio,"Artifact,Observation,Report,Presentation",Decided by Program
Receive feedback,Interact,External,Interactive,Hypothetical / Simulated,Role Play,"Simulation,Real world demonstration",No choice,Observation,Presentation,No choice
Recognize,Know / Understand,Internal,Independent,Hypothetical / Simulated,Scenario,"Real world demonstration,Real world project,Design project",Decided by program,*None: Must be paired with External Behavior*,,N/A
Recommend,Think Critically (Prospective),Internal,Independent,Hypothetical / Simulated,Scenario,"Simulation,Real world project,Real world demonstration,Design project",Decided by program,*None: Must be paired with External Behavior*,,N/A
Record,Show Evidence,External,Independent,Real world,Real world demonstration,Real world project,No choice,Portfolio,"Artifact,Observation,Report,Presentation",Decided by Program
Reflect,Think Critically (Retrospective),Internal,Independent,Real world,Real world demonstration,"Scenario,Real world project",Decided by program,*None: Must be paired with External Behavior*,,N/A
Report,"Show Evidence,Explain","External,External","Independent,Independent","Real world,Hypothetical / Simulated","Real world demonstration,Scenario","Real world project,Real world demonstration,Real world project,Design project","No choice,No choice","Portfolio,Answer questions","Artifact,Observation,Report,Presentation,Report,Presentation,Artifact","Decided by Program,Always"
Research,Think Critically (Prospective),Internal,Independent,Hypothetical / Simulated,Scenario,"Simulation,Real world project,Real world demonstration,Design project",Decided by program,*None: Must be paired with External Behavior*,,N/A
Resolve,React,External,Interactive,Hypothetical / Simulated,Simulation,"Role Play,Real world demonstration",No choice,Observation,,No choice
Respond,React,External,Interactive,Hypothetical / Simulated,Simulation,"Role Play,Real world demonstration",No choice,Observation,,No choice
Review,"Think Critically (Retrospective),Think Critically (Prospective)","Internal,Internal","Independent,Independent","Real world,Hypothetical / Simulated","Real world demonstration,Scenario","Scenario,Real world project,Simulation,Real world project,Real world demonstration,Design project","Decided by program,Decided by program","*None: Must be paired with External Behavior*,*None: Must be paired with External Behavior*",,"N/A,N/A"
Select,Decide / Select,External,Independent,Hypothetical / Simulated,Scenario,"Simulation,Real world project,Real world demonstration,Design project",No choice,Answer questions,"Report,Proposal / Prototype,Observation,Presentation,Artifact",Decided by Program
Show,Show Evidence,External,Independent,Real world,Real world demonstration,Real world project,No choice,Portfolio,"Artifact,Observation,Report,Presentation",Decided by Program
Support,React,External,Interactive,Hypothetical / Simulated,Simulation,"Role Play,Real world demonstration",No choice,Observation,,No choice
Synthesize,Think Critically (Prospective),Internal,Independent,Hypothetical / Simulated,Scenario,"Simulation,Real world project,Real world demonstration,Design project",Decided by program,*None: Must be paired with External Behavior*,,N/A
Teach,Interact,External,Interactive,Hypothetical / Simulated,Role Play,"Simulation,Real world demonstration",No choice,Observation,Presentation,No choice
Test,Implement,External,Interactive,Real world,Real world demonstration,"Simulation,Real world demonstration",No choice,Report,"Portfolio,Observation,Presentation",Decided by Program
Update,React,External,Interactive,Hypothetical / Simulated,Simulation,"Role Play,Real world demonstration",No choice,Observation,,No choice
Use/Utilize,"Implement,Know / Understand","External,Internal","Interactive,Independent","Real world,Hypothetical / Simulated","Real world demonstration,Scenario","Simulation,Real world demonstration,Real world demonstration,Real world project,Design project","No choice,Decided by program","Report,*None: Must be paired with External Behavior*","Portfolio,Observation,Presentation","Decided by Program,N/A"
Verify,Think Critically (Prospective),Internal,Independent,Hypothetical / Simulated,Scenario,"Simulation,Real world project,Real world demonstration,Design project",Decided by program,*None: Must be paired with External Behavior*,,N/A
Write,Explain,External,Independent,Hypothetical / Simulated,Scenario,"Real world demonstration,Real world project,Design project",No choice,Answer questions,"Report,Presentation,Artifact",Always
Hypothesize,Investigate / Inquire,External,Independent,Real world or simulated,Inquiry / Investigation,"Lab practicum, Primary-source/document-based assessment, Real world project",Decided by program,Lab notebook / Research log,"Evidence matrix, Report, Research poster",Decided by program
Inquire,Investigate / Inquire,External,Independent,Real world or simulated,Inquiry / Investigation,"Lab practicum, Primary-source/document-based assessment, Real world project",Decided by program,Lab notebook / Research log,"Evidence matrix, Report, Research poster",Decided by program
Explore,Investigate / Inquire,External,Independent,Real world or simulated,Inquiry / Investigation,"Lab practicum, Primary-source/document-based assessment, Real world project",Decided by program,Lab notebook / Research log,"Evidence matrix, Report, Research poster",Decided by program
Sample,Investigate / Inquire,External,Independent,Real world or simulated,Inquiry / Investigation,"Lab practicum, Primary-source/document-based assessment, Real world project",Decided by program,Lab notebook / Research log,"Evidence matrix, Report, Research poster",Decided by program
Collect,Investigate / Inquire,External,Independent,Real world or simulated,Inquiry / Investigation,"Lab practicum, Primary-source/document-based assessment, Real world project",Decided by program,Lab notebook / Research log,"Evidence matrix, Report, Research poster",Decided by program
Triangulate,Investigate / Inquire,External,Independent,Real world or simulated,Inquiry / Investigation,"Lab practicum, Primary-source/document-based assessment, Real world project",Decided by program,Lab notebook / Research log,"Evidence matrix, Report, Research poster",Decided by program
Corroborate,Investigate / Inquire,External,Independent,Real world or simulated,Inquiry / Investigation,"Lab practicum, Primary-source/document-based assessment, Real world project",Decided by program,Lab notebook / Research log,"Evidence matrix, Report, Research poster",Decided by program
Interview,Investigate / Inquire,External,Independent,Real world or simulated,Inquiry / Investigation,"Lab practicum, Primary-source/document-based assessment, Real world project",Decided by program,Lab notebook / Research log,"Evidence matrix, Report, Research poster",Decided by program
Survey,Investigate / Inquire,External,Independent,Real world or simulated,Inquiry / Investigation,"Lab practicum, Primary-source/document-based assessment, Real world project",Decided by program,Lab notebook / Research log,"Evidence matrix, Report, Research poster",Decided by program
Extract,Investigate / Inquire,External,Independent,Real world or simulated,Inquiry / Investigation,"Lab practicum, Primary-source/document-based assessment, Real world project",Decided by program,Lab notebook / Research log,"Evidence matrix, Report, Research poster",Decided by program
Code data,Investigate / Inquire,External,Independent,Real world or simulated,Inquiry / Investigation,"Lab practicum, Primary-source/document-based assessment, Real world project",Decided by program,Lab notebook / Research log,"Evidence matrix, Report, Research poster",Decided by program
Contextualize,Investigate / Inquire,External,Independent,Real world or simulated,Inquiry / Investigation,"Lab practicum, Primary-source/document-based assessment, Real world project",Decided by program,Lab notebook / Research log,"Evidence matrix, Report, Research poster",Decided by program
Source,Investigate / Inquire,External,Independent,Real world or simulated,Inquiry / Investigation,"Lab practicum, Primary-source/document-based assessment, Real world project",Decided by program,Lab notebook / Research log,"Evidence matrix, Report, Research poster",Decided by program
Model,Model / Represent,External,Independent,Hypothetical / Simulated or real world,Modeling task,"Data analysis practicum, Design project, Scenario",Decided by program,Model / Concept map / Diagram,"Dashboard, Technical appendix, Oral defense",Decided by program
Represent,Model / Represent,External,Independent,Hypothetical / Simulated or real world,Modeling task,"Data analysis practicum, Design project, Scenario",Decided by program,Model / Concept map / Diagram,"Dashboard, Technical appendix, Oral defense",Decided by program
Map,Model / Represent,External,Independent,Hypothetical / Simulated or real world,Modeling task,"Data analysis practicum, Design project, Scenario",Decided by program,Model / Concept map / Diagram,"Dashboard, Technical appendix, Oral defense",Decided by program
